,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
695,695,Brighton,Arsenal,0,0,2021-10-02 19:30:00,Jonathan Moss,10,12,7,6,Premier League Round 7 2021/2022,0,75,75,77,76,83,77,81,79,0,2021,10,2,7
696,696,Crystal Palace,Leicester,2,2,2021-10-03 16:00:00,Anthony Taylor,5,5,6,6,Premier League Round 7 2021/2022,0,77,74,76,76,82,79,81,80,0,2021,10,3,7
697,697,Tottenham,Aston Villa,2,1,2021-10-03 16:00:00,Chris Kavanagh,7,7,7,6,Premier League Round 7 2021/2022,1,86,80,80,82,78,77,76,78,1,2021,10,3,7
698,698,West Ham,Brentford,1,2,2021-10-03 16:00:00,Peter Bankes,12,8,9,5,Premier League Round 7 2021/2022,-1,79,79,79,79,73,73,74,73,-1,2021,10,3,7
699,699,Liverpool,Man City,2,2,2021-10-03 18:30:00,Paul Tierney,13,10,7,8,Premier League Round 7 2021/2022,0,86,85,83,84,84,86,87,85,0,2021,10,3,7
700,700,Chelsea,Man City,0,1,2021-09-25 14:30:00,Michael Oliver,13,13,6,6,Premier League Round 6 2021/2022,-1,84,81,86,83,84,86,87,85,-1,2021,9,25,6
701,701,Man United,Aston Villa,0,1,2021-09-25 14:30:00,Mike Dean,9,7,6,7,Premier League Round 6 2021/2022,-1,85,83,84,84,78,77,76,78,-1,2021,9,25,6
702,702,Everton,Norwich,2,0,2021-09-25 17:00:00,David Coote,12,3,6,6,Premier League Round 6 2021/2022,2,79,79,78,79,76,74,74,74,1,2021,9,25,6
703,703,Leeds,West Ham,1,2,2021-09-25 17:00:00,Kevin Friend,8,8,6,6,Premier League Round 6 2021/2022,-1,78,76,78,77,79,79,79,79,-1,2021,9,25,6
704,704,Leicester,Burnley,2,2,2021-09-25 17:00:00,Chris Kavanagh,7,7,6,6,Premier League Round 6 2021/2022,0,82,79,81,80,76,77,76,76,0,2021,9,25,6
705,705,Watford,Newcastle,1,1,2021-09-25 17:00:00,Jarred Gillett,6,2,5,7,Premier League Round 6 2021/2022,0,74,73,75,75,79,74,75,76,0,2021,9,25,6
